Datetime,Water Level (m)
2024-07-13 06:00:00,1.287507
2024-07-13 07:00:00,1.3210407
2024-07-13 08:00:00,1.3384107
2024-07-13 09:00:00,1.4048961
2024-07-13 10:00:00,1.7616562
2024-07-13 11:00:00,2.0459852
2024-07-13 12:00:00,2.4626863
2024-07-13 13:00:00,2.12524
2024-07-13 14:00:00,2.6717098
2024-07-13 15:00:00,2.4995522
2024-07-13 16:00:00,2.412579
2024-07-13 17:00:00,2.704278
2024-07-13 18:00:00,2.2689557
2024-07-13 19:00:00,2.1098983
2024-07-13 20:00:00,2.4741375
2024-07-13 21:00:00,2.3108861
2024-07-13 22:00:00,2.4278755
2024-07-13 23:00:00,2.8987923
2024-07-14 00:00:00,2.6197457
2024-07-14 01:00:00,2.593731
2024-07-14 02:00:00,3.0633469
2024-07-14 03:00:00,2.7043617
2024-07-14 04:00:00,2.7586079
2024-07-14 05:00:00,2.9719045
2024-07-14 06:00:00,2.486871
2024-07-14 07:00:00,2.615147
2024-07-14 08:00:00,2.8059523
2024-07-14 09:00:00,2.278914
2024-07-14 10:00:00,2.8331184
2024-07-14 11:00:00,2.9554794
2024-07-14 12:00:00,2.848471
2024-07-14 13:00:00,2.947602
2024-07-14 14:00:00,2.750153
2024-07-14 15:00:00,3.1827986
2024-07-14 16:00:00,2.856797
2024-07-14 17:00:00,2.6982162
2024-07-14 18:00:00,3.0060666
2024-07-14 19:00:00,2.6782486
2024-07-14 20:00:00,2.366627
2024-07-14 21:00:00,2.8248985
2024-07-14 22:00:00,2.401578
2024-07-14 23:00:00,2.7384155
2024-07-15 00:00:00,3.050667
2024-07-15 01:00:00,2.7444594
2024-07-15 02:00:00,3.1848102
2024-07-15 03:00:00,2.7820666
2024-07-15 04:00:00,3.2085612
2024-07-15 05:00:00,3.0004241
2024-07-15 06:00:00,2.6512945
2024-07-15 07:00:00,2.913155
2024-07-15 08:00:00,2.7045424
2024-07-15 09:00:00,2.4924657
2024-07-15 10:00:00,2.981121
2024-07-15 11:00:00,2.734975
2024-07-15 12:00:00,2.8543139
2024-07-15 13:00:00,3.230182
2024-07-15 14:00:00,2.929326
2024-07-15 15:00:00,3.0627296
2024-07-15 16:00:00,3.2695484
2024-07-15 17:00:00,2.8670797
2024-07-15 18:00:00,2.856288
2024-07-15 19:00:00,3.055712
2024-07-15 20:00:00,2.514531
2024-07-15 21:00:00,2.5041423
2024-07-15 22:00:00,2.8910286
2024-07-15 23:00:00,2.5448549
2024-07-16 00:00:00,2.6503208
2024-07-16 01:00:00,3.127569
2024-07-16 02:00:00,2.7828307
2024-07-16 03:00:00,3.2271948
2024-07-16 04:00:00,3.2198555
2024-07-16 05:00:00,2.856517
2024-07-16 06:00:00,3.12491
2024-07-16 07:00:00,3.1587796
2024-07-16 08:00:00,2.7432952
2024-07-16 09:00:00,2.7681768
2024-07-16 10:00:00,2.9537413
2024-07-16 11:00:00,2.4585721
2024-07-16 12:00:00,2.9674337
2024-07-16 13:00:00,3.030724
2024-07-16 14:00:00,2.6948245
2024-07-16 15:00:00,3.3031754
2024-07-16 16:00:00,3.0285656
2024-07-16 17:00:00,2.8736856
2024-07-16 18:00:00,3.1954386
2024-07-16 19:00:00,2.9876447
2024-07-16 20:00:00,2.657283
2024-07-16 21:00:00,2.8870752
2024-07-16 22:00:00,2.7482014
2024-07-16 23:00:00,2.5670161
2024-07-17 00:00:00,2.724851
2024-07-17 01:00:00,2.8612769
2024-07-17 02:00:00,3.0678496
2024-07-17 03:00:00,2.9589326
2024-07-17 04:00:00,3.100947
2024-07-17 05:00:00,3.2679183
2024-07-17 06:00:00,2.8680182
2024-07-17 07:00:00,3.0419068
2024-07-17 08:00:00,3.1405637
2024-07-17 09:00:00,2.8231668
2024-07-17 10:00:00,2.7673144
2024-07-17 11:00:00,2.9458563
2024-07-17 12:00:00,2.447182
2024-07-17 13:00:00,2.7723017
2024-07-17 14:00:00,3.0038323
2024-07-17 15:00:00,2.6267557
2024-07-17 16:00:00,3.2458174
2024-07-17 17:00:00,3.0560718
2024-07-17 18:00:00,2.868601
2024-07-17 19:00:00,3.2450771
2024-07-17 20:00:00,2.868648
2024-07-17 21:00:00,2.8537495
2024-07-17 22:00:00,3.028619
2024-07-17 23:00:00,2.704324
2024-07-18 00:00:00,2.5073597
2024-07-18 01:00:00,2.8875916
2024-07-18 02:00:00,2.5247538
2024-07-18 03:00:00,3.1005437
2024-07-18 04:00:00,3.0211341
2024-07-18 05:00:00,2.8481102
2024-07-18 06:00:00,3.0691285
2024-07-18 07:00:00,3.1130898
2024-07-18 08:00:00,2.8873928
2024-07-18 09:00:00,3.0553846
2024-07-18 10:00:00,3.0714912
2024-07-18 11:00:00,2.5929928
2024-07-18 12:00:00,2.7675579
2024-07-18 13:00:00,2.770693
2024-07-18 14:00:00,2.5837038
2024-07-18 15:00:00,2.8260598
2024-07-18 16:00:00,2.767055
2024-07-18 17:00:00,3.1358116
2024-07-18 18:00:00,2.9756973
2024-07-18 19:00:00,2.96334
2024-07-18 20:00:00,3.261244
2024-07-18 21:00:00,2.755861
2024-07-18 22:00:00,3.016371
2024-07-18 23:00:00,2.9464638
2024-07-19 00:00:00,2.4641025
2024-07-19 01:00:00,2.9031284
2024-07-19 02:00:00,2.5794773
2024-07-19 03:00:00,2.4294946
2024-07-19 04:00:00,3.0947235
2024-07-19 05:00:00,2.880172
2024-07-19 06:00:00,3.1426642
